ticket_id,created_at,department,title,description,resolution_notes,priority,status,pii_masked,ground_truth_category
SYN-0001,2026-07-09,HR,VPN disconnects every few minutes,VPN disconnects every few minutes on Windows 11. I already restarted the device once.,Updated the VPN client and re-created the connection profile.,High,Resolved,true,VPN
SYN-0002,2026-01-23,Finance,VPN tunnel is unstable from home network,VPN tunnel is unstable from home network on Windows 10. This started this morning.,,Low,Open,true,VPN
SYN-0003,2026-06-04,Sales,New employee account cannot access portal,New employee account cannot access portal on Windows 11. No recent hardware changes were made.,Unlocked the account and forced a secure password reset.,High,Resolved,true,Accounts / Passwords
SYN-0004,2026-04-25,Finance,Software setup cannot continue because admin rights are required,Software setup cannot continue because admin rights are required on Windows 11. No recent hardware changes were made.,Used the approved installer with administrator permission.,Medium,Resolved,true,Software Installation
SYN-0005,2026-02-09,IT,Blue screen appears after installing an update,Blue screen appears after installing an update on Windows 10. This started this morning.,Installed pending driver updates and repaired Windows update components.,Medium,Resolved,true,Windows / Updates
SYN-0006,2026-08-05,Sales,VPN authentication fails after Windows update,VPN authentication fails after Windows update on macOS. This started this morning.,Updated the VPN client and re-created the connection profile.,High,Resolved,true,VPN
SYN-0007,2026-02-01,Finance,RDP connection times out from home network,RDP connection times out from home network on macOS. No recent hardware changes were made.,,High,Open,true,Remote Desktop
SYN-0008,2026-02-19,Finance,Computer repeatedly restarts after Windows update,Computer repeatedly restarts after Windows update on Windows 11. It happens on my work laptop.,Installed pending driver updates and repaired Windows update components.,Low,Resolved,true,Windows / Updates
SYN-0009,2026-04-08,Operations,User account is locked after failed login attempts,User account is locked after failed login attempts on macOS. I already restarted the device once.,Unlocked the account and forced a secure password reset.,Medium,Resolved,true,Accounts / Passwords
SYN-0010,2026-06-21,Academic,Laptop is slow after Windows 11 update,Laptop is slow after Windows 11 update on Windows 10. The issue happens repeatedly.,Installed pending driver updates and repaired Windows update components.,High,Resolved,true,Windows / Updates
SYN-0011,2026-07-06,HR,Outlook profile fails to synchronize mail,Outlook profile fails to synchronize mail on Ubuntu. Please help because I need this for work.,Re-registered MFA and cleared cached Outlook credentials.,Medium,Resolved,true,Outlook / MFA
SYN-0012,2026-08-04,HR,Password expired and user cannot log in,Password expired and user cannot log in on Windows 10. It happens on my work laptop.,Unlocked the account and forced a secure password reset.,Medium,Resolved,true,Accounts / Passwords
SYN-0013,2026-02-24,HR,Printer is online but jobs stay in queue,Printer is online but jobs stay in queue on Ubuntu. Please help because I need this for work.,Cleared the print queue and reinstalled the approved printer driver.,High,Resolved,true,Printers
