doc_id,title,body,source_type,authoritative,created_at,updated_at,status,supported_os,security_class,category
KB-001,DNS Cache Recovery - Guide 1,"If Wi-Fi is connected but internet access is unavailable, open Command Prompt and run ipconfig /flushdns. Reconnect to Wi-Fi and test again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Wi-Fi / DNS
KB-002,Re-create VPN Profile - Guide 1,Remove the damaged VPN connection profile and create a new profile using the approved organization settings.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,VPN
KB-003,Re-register MFA - Guide 1,"If MFA approvals or codes fail, remove the old authenticator registration and complete the organization's approved MFA registration process again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Outlook / MFA
KB-004,Password Reset Process - Guide 1,"Use the approved password reset portal, create a compliant password, and sign in again after the reset completes.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Accounts / Passwords
KB-005,Clear Print Queue - Guide 1,"Stop the print spooler, clear stuck print jobs, restart the print spooler, and try printing again.",Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Printers
KB-006,Update Device Drivers - Guide 1,Install manufacturer-approved device drivers through the approved update channel and restart the computer.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Windows / Updates
KB-007,Approved Software Installation - Guide 1,Download the installer only from the approved internal source and install it with authorized administrator permission.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Software Installation
KB-008,RDP Credential Repair - Guide 1,Remove saved Remote Desktop credentials and reconnect using the current organization account.,Internal KB,true,2025-01-15,2026-08-01,approved,Any,internal,Remote Desktop
KB-009,Restart Network Adapter - Guide 2,"Disable and re-enable the Wi-Fi network adapter, then reconnect to the approved wireless network.",Internal KB,true,2025-01-15,2023-01-15,approved,Any,internal,Wi-Fi / DNS
KB-010,Re-create VPN Profile - Guide 2,Remove the damaged VPN connection profile and create a new profile using the approved organization settings. This older article was written for Windows 10 and should be reviewed for newer systems.,Internal KB,true,2025-01-15,2023-01-15,approved,Windows 10,internal,VPN
